pi_rx_time_ns,address,name,rssi,payload_version,exp_code,exp,node_num,seq,t_local_us,raw_hex
1774625576105145000,770FFF75-C8ED-98FA-0BFA-584B7210BF8F,"55"" Crystal UHD",-73,1,,,32,992374,20381954,4204012076240f0002013701010001045700000000000016
1774625576106733000,770FFF75-C8ED-98FA-0BFA-584B7210BF8F,"55"" Crystal UHD",-73,1,,,32,992374,20381954,4204012076240f0002013701010001045700000000000016
1774625577557656000,770FFF75-C8ED-98FA-0BFA-584B7210BF8F,"55"" Crystal UHD",-73,1,,,32,992374,20381954,4204012076240f0002013701010001045700000000000016
1774625577559093000,770FFF75-C8ED-98FA-0BFA-584B7210BF8F,"55"" Crystal UHD",-73,1,,,32,992374,20381954,4204012076240f0002013701010001045700000000000016
1774625580586943000,770FFF75-C8ED-98FA-0BFA-584B7210BF8F,"55"" Crystal UHD",-73,1,,,32,992374,20381954,4204012076240f0002013701010001045700000000000016
1774625582057985000,770FFF75-C8ED-98FA-0BFA-584B7210BF8F,"55"" Crystal UHD",-74,1,,,32,992374,20381954,4204012076240f0002013701010001045700000000000016
1774625582687090000,770FFF75-C8ED-98FA-0BFA-584B7210BF8F,"55"" Crystal UHD",-73,1,,,32,992374,20381954,4204012076240f0002013701010001045700000000000016
1774625583005280000,770FFF75-C8ED-98FA-0BFA-584B7210BF8F,"55"" Crystal UHD",-71,1,,,1,962022518,1310456133,42040101764c573945f91b4e573945f91a01810000000000
1774625583558190000,770FFF75-C8ED-98FA-0BFA-584B7210BF8F,"55"" Crystal UHD",-74,1,,,1,962022518,1310456133,42040101764c573945f91b4e573945f91a01810000000000
1774625586571235000,770FFF75-C8ED-98FA-0BFA-584B7210BF8F,"55"" Crystal UHD",-77,1,,,1,962022518,1310456133,42040101764c573945f91b4e573945f91a01810000000000
1774625586572930000,770FFF75-C8ED-98FA-0BFA-584B7210BF8F,"55"" Crystal UHD",-76,1,,,1,962022518,1310456133,42040101764c573945f91b4e573945f91a01810000000000
1774625589568357000,770FFF75-C8ED-98FA-0BFA-584B7210BF8F,"55"" Crystal UHD",-73,1,,,32,992374,20381954,4204012076240f0002013701010001045700000000000016
1774625594064281000,770FFF75-C8ED-98FA-0BFA-584B7210BF8F,"55"" Crystal UHD",-73,1,,,64,962022512,1310456133,42040140704c573945f91b4e573945f91a01810000000000
1774625594996388000,770FFF75-C8ED-98FA-0BFA-584B7210BF8F,"55"" Crystal UHD",-75,1,,,64,962022512,1310456133,42040140704c573945f91b4e573945f91a01810000000000
1774625603655699000,770FFF75-C8ED-98FA-0BFA-584B7210BF8F,"55"" Crystal UHD",-74,1,,,64,962022512,1310456133,42040140704c573945f91b4e573945f91a01810000000000
1774625604591531000,770FFF75-C8ED-98FA-0BFA-584B7210BF8F,"55"" Crystal UHD",-75,1,,,64,962022512,1310456133,42040140704c573945f91b4e573945f91a01810000000000
1774625604593087000,770FFF75-C8ED-98FA-0BFA-584B7210BF8F,"55"" Crystal UHD",-74,1,,,64,962022512,1310456133,42040140704c573945f91b4e573945f91a01810000000000
1774625610594693000,770FFF75-C8ED-98FA-0BFA-584B7210BF8F,"55"" Crystal UHD",-78,1,,,128,962022518,1310456133,42040180764c573945f91b4e573945f91a01810000000000
1774625610597352000,770FFF75-C8ED-98FA-0BFA-584B7210BF8F,"55"" Crystal UHD",-66,1,,,128,962022518,1310456133,42040180764c573945f91b4e573945f91a01810000000000
1774625617745714000,770FFF75-C8ED-98FA-0BFA-584B7210BF8F,"55"" Crystal UHD",-75,1,,,128,962022518,1310456133,42040180764c573945f91b4e573945f91a01810000000000
1774625618671375000,770FFF75-C8ED-98FA-0BFA-584B7210BF8F,"55"" Crystal UHD",-75,1,,,128,962022518,1310456133,42040180764c573945f91b4e573945f91a01810000000000
1774625620776584000,770FFF75-C8ED-98FA-0BFA-584B7210BF8F,"55"" Crystal UHD",-71,1,,,128,962022518,1310456133,42040180764c573945f91b4e573945f91a01810000000000
1774625622874005000,770FFF75-C8ED-98FA-0BFA-584B7210BF8F,"55"" Crystal UHD",-75,1,,,128,962022518,1310456133,42040180764c573945f91b4e573945f91a01810000000000
1774625628845559000,770FFF75-C8ED-98FA-0BFA-584B7210BF8F,"55"" Crystal UHD",-74,1,,,128,962022518,1310456133,42040180764c573945f91b4e573945f91a01810000000000
1774625630947812000,770FFF75-C8ED-98FA-0BFA-584B7210BF8F,"55"" Crystal UHD",-74,1,,,128,962022518,1310456133,42040180764c573945f91b4e573945f91a01810000000000
1774625636928216000,770FFF75-C8ED-98FA-0BFA-584B7210BF8F,"55"" Crystal UHD",-73,1,,,128,962022518,1310456133,42040180764c573945f91b4e573945f91a01810000000000
1774625639971973000,770FFF75-C8ED-98FA-0BFA-584B7210BF8F,"55"" Crystal UHD",-76,1,,,128,962022518,1310456133,42040180764c573945f91b4e573945f91a01810000000000
1774625639973242000,770FFF75-C8ED-98FA-0BFA-584B7210BF8F,"55"" Crystal UHD",-76,1,,,128,962022518,1310456133,42040180764c573945f91b4e573945f91a01810000000000
1774625641439478000,770FFF75-C8ED-98FA-0BFA-584B7210BF8F,"55"" Crystal UHD",-73,1,,,128,962022518,1310456133,42040180764c573945f91b4e573945f91a01810000000000
1774625644465412000,770FFF75-C8ED-98FA-0BFA-584B7210BF8F,"55"" Crystal UHD",-75,1,,,128,962022518,1310456133,42040180764c573945f91b4e573945f91a01810000000000
1774625644466779000,770FFF75-C8ED-98FA-0BFA-584B7210BF8F,"55"" Crystal UHD",-75,1,,,128,962022518,1310456133,42040180764c573945f91b4e573945f91a01810000000000
1774625648983572000,770FFF75-C8ED-98FA-0BFA-584B7210BF8F,"55"" Crystal UHD",-78,1,,,128,962022518,1310456133,42040180764c573945f91b4e573945f91a01810000000000
1774625648984704000,770FFF75-C8ED-98FA-0BFA-584B7210BF8F,"55"" Crystal UHD",-65,1,,,128,962022518,1310456133,42040180764c573945f91b4e573945f91a01810000000000
1774625651093028000,770FFF75-C8ED-98FA-0BFA-584B7210BF8F,"55"" Crystal UHD",-64,1,,,128,962022518,1310456133,42040180764c573945f91b4e573945f91a01810000000000
1774625654055120000,770FFF75-C8ED-98FA-0BFA-584B7210BF8F,"55"" Crystal UHD",-69,1,,,128,962022518,1310456133,42040180764c573945f91b4e573945f91a01810000000000
1774625661851038000,644416C2-5CFA-5AEE-B5AE-CCC6466A3B6E,TH05,-75,1,,,4,2244211809,786299665,0000010461f4c38511fbdd2ecce76e0160365966
1774625671783549000,644416C2-5CFA-5AEE-B5AE-CCC6466A3B6E,TH05,-82,1,,,4,2244211809,786299665,0000010461f4c38511fbdd2ecce76e0160365966
1774625681689776000,644416C2-5CFA-5AEE-B5AE-CCC6466A3B6E,TH05,-80,1,,,4,2244211809,786299665,0000010461f4c38511fbdd2ecce76e0160365966
1774625681691570000,644416C2-5CFA-5AEE-B5AE-CCC6466A3B6E,TH05,-80,1,,,4,2244211809,786299665,0000010461f4c38511fbdd2ecce76e0160365966
1774625697566862000,644416C2-5CFA-5AEE-B5AE-CCC6466A3B6E,TH05,-77,1,,,4,2244211809,786299665,0000010461f4c38511fbdd2ecce76e0160365966
1774625697568528000,644416C2-5CFA-5AEE-B5AE-CCC6466A3B6E,TH05,-76,1,,,4,2244211809,786299665,0000010461f4c38511fbdd2ecce76e0160365966
1774625707469809000,644416C2-5CFA-5AEE-B5AE-CCC6466A3B6E,TH05,-75,1,,,4,2244211809,786299665,0000010461f4c38511fbdd2ecce76e0160365966
1774625739240147000,644416C2-5CFA-5AEE-B5AE-CCC6466A3B6E,TH05,-76,1,,,4,2244211809,786299665,0000010461f4c38511fbdd2ecce76e0160365966
1774625774971207000,644416C2-5CFA-5AEE-B5AE-CCC6466A3B6E,TH05,-81,1,,,4,2244211809,786299665,0000010461f4c38511fbdd2ecce76e0160365966
1774625784880982000,644416C2-5CFA-5AEE-B5AE-CCC6466A3B6E,TH05,-79,1,,,4,2244211809,786299665,0000010461f4c38511fbdd2ecce76e0160365966
1774625800748579000,644416C2-5CFA-5AEE-B5AE-CCC6466A3B6E,TH05,-74,1,,,4,2244211809,786299665,0000010461f4c38511fbdd2ecce76e0160365966
1774625800750166000,644416C2-5CFA-5AEE-B5AE-CCC6466A3B6E,TH05,-74,1,,,4,2244211809,786299665,0000010461f4c38511fbdd2ecce76e0160365966
1774625805910768000,0DE3501B-3FBA-8F78-2157-0EC2AF55FF54,TH05,-78,1,,,4,3474881464,950380342,00000104b87b1ecf36a7a53851df8d49600a361b
1774625807106118000,0DE3501B-3FBA-8F78-2157-0EC2AF55FF54,TH05,-72,1,,,4,3474881464,950380342,00000104b87b1ecf36a7a53851df8d49600a361b
1774625807905866000,0DE3501B-3FBA-8F78-2157-0EC2AF55FF54,TH05,-86,1,,,4,3474881464,950380342,00000104b87b1ecf36a7a53851df8d49600a361b
1774625808526090000,0DE3501B-3FBA-8F78-2157-0EC2AF55FF54,TH05,-62,1,,,4,3474881464,950380342,00000104b87b1ecf36a7a53851df8d49600a361b
1774625816605366000,644416C2-5CFA-5AEE-B5AE-CCC6466A3B6E,TH05,-83,1,,,4,2244211809,786299665,0000010461f4c38511fbdd2ecce76e0160365966
1774625826521761000,644416C2-5CFA-5AEE-B5AE-CCC6466A3B6E,TH05,-88,1,,,4,2244211809,786299665,0000010461f4c38511fbdd2ecce76e0160365966
1774625828507311000,644416C2-5CFA-5AEE-B5AE-CCC6466A3B6E,TH05,-86,1,,,4,2244211809,786299665,0000010461f4c38511fbdd2ecce76e0160365966
1774625838427866000,644416C2-5CFA-5AEE-B5AE-CCC6466A3B6E,TH05,-81,1,,,4,2244211809,786299665,0000010461f4c38511fbdd2ecce76e0160365966
1774625844386138000,644416C2-5CFA-5AEE-B5AE-CCC6466A3B6E,TH05,-76,1,,,4,2244211809,786299665,0000010461f4c38511fbdd2ecce76e0160365966
1774625853992985000,0DE3501B-3FBA-8F78-2157-0EC2AF55FF54,TH05,-53,1,,,4,3474881464,950380342,00000104b87b1ecf36a7a53851df8d49600a361b
1774625854308641000,0DE3501B-3FBA-8F78-2157-0EC2AF55FF54,TH05,-66,1,,,4,3474881464,950380342,00000104b87b1ecf36a7a53851df8d49600a361b
1774625854610550000,0DE3501B-3FBA-8F78-2157-0EC2AF55FF54,TH05,-47,1,,,4,3474881464,950380342,00000104b87b1ecf36a7a53851df8d49600a361b
1774625855195324000,0DE3501B-3FBA-8F78-2157-0EC2AF55FF54,TH05,-60,1,,,4,3474881464,950380342,00000104b87b1ecf36a7a53851df8d49600a361b
1774625855786226000,0DE3501B-3FBA-8F78-2157-0EC2AF55FF54,TH05,-47,1,,,4,3474881464,950380342,00000104b87b1ecf36a7a53851df8d49600a361b
1774625856402831000,0DE3501B-3FBA-8F78-2157-0EC2AF55FF54,TH05,-51,1,,,4,3474881464,950380342,00000104b87b1ecf36a7a53851df8d49600a361b
1774625870198876000,644416C2-5CFA-5AEE-B5AE-CCC6466A3B6E,TH05,-74,1,,,4,2244211809,786299665,0000010461f4c38511fbdd2ecce76e0160365966
1774625880126210000,644416C2-5CFA-5AEE-B5AE-CCC6466A3B6E,TH05,-77,1,,,4,2244211809,786299665,0000010461f4c38511fbdd2ecce76e0160365966
1774625880127657000,644416C2-5CFA-5AEE-B5AE-CCC6466A3B6E,TH05,-77,1,,,4,2244211809,786299665,0000010461f4c38511fbdd2ecce76e0160365966
1774625921631963000,0DE3501B-3FBA-8F78-2157-0EC2AF55FF54,TH05,-57,1,,,4,3474881464,950380342,00000104b87b1ecf36a7a53851df8d49600a361b
1774625921946980000,0DE3501B-3FBA-8F78-2157-0EC2AF55FF54,TH05,-52,1,,,4,3474881464,950380342,00000104b87b1ecf36a7a53851df8d49600a361b
1774625922253314000,0DE3501B-3FBA-8F78-2157-0EC2AF55FF54,TH05,-53,1,,,4,3474881464,950380342,00000104b87b1ecf36a7a53851df8d49600a361b
1774625922532820000,0DE3501B-3FBA-8F78-2157-0EC2AF55FF54,TH05,-55,1,,,4,3474881464,950380342,00000104b87b1ecf36a7a53851df8d49600a361b
1774625923152046000,0DE3501B-3FBA-8F78-2157-0EC2AF55FF54,TH05,-54,1,,,4,3474881464,950380342,00000104b87b1ecf36a7a53851df8d49600a361b
1774625923735954000,0DE3501B-3FBA-8F78-2157-0EC2AF55FF54,TH05,-49,1,,,4,3474881464,950380342,00000104b87b1ecf36a7a53851df8d49600a361b
1774625924356928000,0DE3501B-3FBA-8F78-2157-0EC2AF55FF54,TH05,-53,1,,,4,3474881464,950380342,00000104b87b1ecf36a7a53851df8d49600a361b
